@relation mean_amplitude
@attribute ch_0 REAL
@attribute ch_1 REAL
@attribute ch_2 REAL
@attribute ch_3 REAL
@attribute ch_4 REAL
@attribute ch_5 REAL
@attribute ch_6 REAL
@attribute ch_7 REAL
@attribute ch_8 REAL
@attribute ch_9 REAL
@attribute ch_10 REAL
@attribute ch_11 REAL
@attribute ch_12 REAL
@attribute ch_13 REAL
@attribute ch_14 REAL
@attribute ch_15 REAL
@attribute ch_16 REAL
@attribute ch_17 REAL
@attribute ch_18 REAL
@attribute ch_19 REAL
@attribute ch_20 REAL
@attribute ch_21 REAL
@attribute ch_22 REAL
@attribute ch_23 REAL
@attribute ch_24 REAL
@attribute ch_25 REAL
@attribute ch_26 REAL
@attribute ch_27 REAL
@attribute ch_28 REAL
@attribute ch_29 REAL
@attribute ch_30 REAL
@attribute ch_31 REAL
@attribute orientation_classes {0,45,90,180,135,225,315,270}
@data
54.85,0.00,0.00,0.00,53.98,60.91,0.00,55.79,54.64,70.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.48,270
59.42,0.00,0.00,0.00,0.00,59.41,0.00,66.56,58.47,65.30,0.00,0.00,0.00,0.00,96.93,89.61,0.00,53.36,0.00,0.00,0.00,0.00,0.00,0.00,50.67,0.00,0.00,0.00,0.00,0.00,0.00,56.18,135
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45
0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.71,0.00,76.82,0.00,0.00,0.00,0.00,0.00,65.13,0.00,56.95,0.00,0.00,0.00,0.00,0.00,0.00,53.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.14,0.00,69.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.53,135
53.55,0.00,0.00,0.00,57.26,0.00,0.00,56.65,59.26,63.21,0.00,0.00,0.00,0.00,105.40,0.00,0.00,55.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.54,0.00,0.00,0.00,59.11,135
0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.68,0.00,70.03,0.00,0.00,0.00,0.00,62.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135
0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.02,0.00,67.10,0.00,0.00,0.00,0.00,52.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.65,270
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90
55.56,0.00,0.00,0.00,64.49,52.37,0.00,0.00,52.90,67.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135
