@relation mean_amplitude
@attribute ch_0 REAL
@attribute ch_1 REAL
@attribute ch_2 REAL
@attribute ch_3 REAL
@attribute ch_4 REAL
@attribute ch_5 REAL
@attribute ch_6 REAL
@attribute ch_7 REAL
@attribute ch_8 REAL
@attribute ch_9 REAL
@attribute ch_10 REAL
@attribute ch_11 REAL
@attribute ch_12 REAL
@attribute ch_13 REAL
@attribute ch_14 REAL
@attribute ch_15 REAL
@attribute ch_16 REAL
@attribute ch_17 REAL
@attribute ch_18 REAL
@attribute ch_19 REAL
@attribute ch_20 REAL
@attribute ch_21 REAL
@attribute ch_22 REAL
@attribute ch_23 REAL
@attribute ch_24 REAL
@attribute ch_25 REAL
@attribute ch_26 REAL
@attribute ch_27 REAL
@attribute ch_28 REAL
@attribute ch_29 REAL
@attribute ch_30 REAL
@attribute ch_31 REAL
@attribute orientation_classes {0,45,90,180,135,225,315,270}
@data
9.00,0.00,0.00,0.00,7.00,5.00,0.00,15.00,6.00,17.00,0.00,0.00,0.00,0.00,3.00,3.00,2.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,135
10.00,0.00,0.00,0.00,9.00,3.00,0.00,12.00,6.00,19.00,0.00,0.00,0.00,0.00,12.00,5.00,3.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,135
9.00,0.00,0.00,0.00,7.00,10.00,0.00,8.00,7.00,11.00,0.00,0.00,0.00,0.00,3.00,3.00,4.00,9.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,7.00,0.00,0.00,0.00,4.00,270
7.00,2.00,2.00,0.00,6.00,8.00,0.00,9.00,6.00,18.00,2.00,0.00,0.00,0.00,4.00,3.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,4.00,0
6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,270
6.00,0.00,0.00,0.00,4.00,6.00,0.00,6.00,9.00,16.00,0.00,0.00,0.00,0.00,2.00,4.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00,135
5.00,0.00,0.00,0.00,2.00,0.00,0.00,7.00,7.00,6.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,90
5.00,0.00,0.00,0.00,3.00,8.00,0.00,4.00,9.00,13.00,0.00,0.00,0.00,0.00,3.00,0.00,2.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,4.00,0.00,0.00,0.00,5.00,270
5.00,0.00,0.00,0.00,7.00,6.00,0.00,0.00,3.00,11.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,2.00,135
5.00,0.00,0.00,0.00,5.00,5.00,0.00,6.00,3.00,5.00,0.00,0.00,0.00,0.00,2.00,0.00,3.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,7.00,180
