@relation mean_amplitude
@attribute ch_0 REAL
@attribute ch_1 REAL
@attribute ch_2 REAL
@attribute ch_3 REAL
@attribute ch_4 REAL
@attribute ch_5 REAL
@attribute ch_6 REAL
@attribute ch_7 REAL
@attribute ch_8 REAL
@attribute ch_9 REAL
@attribute ch_10 REAL
@attribute ch_11 REAL
@attribute ch_12 REAL
@attribute ch_13 REAL
@attribute ch_14 REAL
@attribute ch_15 REAL
@attribute ch_16 REAL
@attribute ch_17 REAL
@attribute ch_18 REAL
@attribute ch_19 REAL
@attribute ch_20 REAL
@attribute ch_21 REAL
@attribute ch_22 REAL
@attribute ch_23 REAL
@attribute ch_24 REAL
@attribute ch_25 REAL
@attribute ch_26 REAL
@attribute ch_27 REAL
@attribute ch_28 REAL
@attribute ch_29 REAL
@attribute ch_30 REAL
@attribute ch_31 REAL
@attribute orientation_classes {0,45,90,180,135,225,315,270}
@data
21.81,0.00,0.00,0.00,8.55,12.87,0.00,19.09,11.29,21.29,0.00,0.00,0.00,0.00,35.52,14.85,5.86,12.06,0.00,0.00,59.70,4.70,0.00,0.00,4.78,3.05,1306.12,5.60,0.00,4.13,0.00,12.50,270
15.60,0.00,0.00,0.00,8.25,17.55,0.00,15.42,5.88,10.16,0.00,0.00,0.00,1.10,13.15,9.15,5.62,13.36,0.00,1.11,1.42,1.90,0.00,0.00,2.31,0.00,0.00,4.66,0.00,0.00,0.00,12.31,135
62.16,5.66,0.81,2.91,37.55,41.73,9.34,32.92,34.91,38.19,0.00,1.30,0.00,0.00,13.37,8.74,11.60,22.24,0.00,0.00,1.99,0.94,0.00,0.00,1.89,0.00,2.53,10.32,0.00,4.64,0.00,22.13,45
8.94,0.00,0.00,0.00,7.27,11.19,0.00,12.21,5.08,12.64,0.00,0.00,0.00,0.00,4.05,0.00,5.11,10.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.47,0.00,0.00,0.00,8.07,0
15.72,1.49,0.00,0.00,10.20,17.03,0.00,13.81,8.70,18.43,0.00,0.00,0.00,0.00,3.25,3.65,6.29,15.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.59,0.00,0.00,0.00,16.21,135
7.52,0.00,0.00,0.00,5.93,13.93,0.00,13.47,5.19,11.69,0.00,0.00,0.00,0.00,9.72,33.32,4.84,13.96,0.00,0.00,0.00,6.90,0.00,0.00,0.00,0.00,5.57,2.87,0.00,0.00,0.00,13.61,135
16.13,1.26,0.00,0.00,9.88,13.30,0.00,15.02,7.34,18.58,0.00,0.00,0.00,0.00,4.85,2.41,8.23,16.36,0.00,0.00,0.00,0.00,0.00,0.00,49.77,0.00,0.00,6.75,0.00,0.00,0.00,15.16,135
21.39,2.76,2.19,0.00,12.87,14.13,0.00,13.70,12.29,32.91,0.00,0.00,0.00,0.00,8.54,12.68,9.20,19.77,0.00,0.00,0.00,3.05,0.00,0.00,3.46,11.10,0.00,6.47,2.53,0.00,11.10,19.34,270
20.86,4.40,5.77,4.48,15.97,16.94,0.00,20.76,17.36,33.65,2.24,0.00,0.00,0.00,7.25,1.99,6.39,23.90,0.00,0.00,0.00,0.00,0.00,0.00,12.23,8.02,2.84,10.54,0.00,0.00,0.00,17.04,90
15.14,0.00,0.00,0.00,9.25,13.74,0.00,11.62,6.52,16.44,0.00,0.00,0.00,0.00,0.00,3.44,6.84,12.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.19,0.00,0.00,0.00,9.57,135
37.13,37.98,210.87,5.96,36.36,29.72,0.00,26.42,22.33,37.98,2.08,11.90,0.00,0.00,10.76,5.92,9.93,16.25,0.00,0.00,1.09,1.19,0.00,0.00,1.32,1156.63,1.63,3.93,0.00,0.00,0.00,15.71,45
20.34,2.42,0.00,4.20,12.00,10.74,0.00,12.78,13.62,21.39,0.00,60.89,0.00,0.00,12.29,6.14,7.56,16.89,0.00,0.00,0.00,2.05,0.00,0.00,4.68,6.66,0.00,6.84,6.53,3.33,6.66,12.61,270
